date,home_team,score,away_team
15-05-2022,Betis,2 - 0,Granada
20-05-2022,Real Madrid,0 - 0,Betis
14-08-2021,Cadiz,1 - 1,Levante
20-08-2021,Betis,1 - 1,Cadiz
29-08-2021,Cadiz,2 - 3,Osasuna
12-09-2021,Cadiz,0 - 2,Sociedad
17-09-2021,Celta,1 - 2,Cadiz
23-09-2021,Cadiz,0 - 0,Barcelona
26-09-2021,Vallecano,3 - 1,Cadiz
02-10-2021,Cadiz,0 - 0,Valencia
18-10-2021,Espanol,2 - 0,Cadiz
23-10-2021,Cadiz,0 - 2,Alaves
26-10-2021,Villarreal,3 - 3,Cadiz
31-10-2021,Cadiz,1 - 1,Mallorca
05-11-2021,Ath Bilbao,0 - 1,Cadiz
21-11-2021,Getafe,4 - 0,Cadiz
28-11-2021,Cadiz,1 - 4,Ath Madrid
05-12-2021,Elche,3 - 1,Cadiz
13-12-2021,Cadiz,1 - 1,Granada
19-12-2021,Real Madrid,0 - 0,Cadiz
03-01-2022,Cadiz,0 - 1,Sevilla
09-01-2022,Osasuna,2 - 0,Cadiz
18-01-2022,Cadiz,2 - 2,Espanol
22-01-2022,Levante,0 - 2,Cadiz
05-02-2022,Mallorca,2 - 1,Cadiz
12-02-2022,Cadiz,0 - 0,Celta
19-02-2022,Cadiz,1 - 1,Getafe
28-02-2022,Granada,0 - 0,Cadiz
06-03-2022,Cadiz,2 - 0,Vallecano
11-03-2022,Ath Madrid,2 - 1,Cadiz
20-03-2022,Cadiz,1 - 0,Villarreal
03-04-2022,Valencia,0 - 0,Cadiz
09-04-2022,Cadiz,1 - 2,Betis
18-04-2022,Barcelona,0 - 1,Cadiz
21-04-2022,Cadiz,2 - 3,Ath Bilbao
29-04-2022,Sevilla,1 - 1,Cadiz
07-05-2022,Cadiz,3 - 0,Elche
12-05-2022,Sociedad,3 - 0,Cadiz
15-05-2022,Cadiz,1 - 1,Real Madrid
22-05-2022,Alaves,0 - 1,Cadiz
15-08-2021,Celta,1 - 2,Ath Madrid
23-08-2021,Osasuna,0 - 0,Celta
28-08-2021,Celta,0 - 1,Ath Bilbao
12-09-2021,Real Madrid,5 - 2,Celta
17-09-2021,Celta,1 - 2,Cadiz
21-09-2021,Levante,0 - 2,Celta
27-09-2021,Celta,1 - 0,Granada
03-10-2021,Elche,1 - 0,Celta
17-10-2021,Celta,0 - 1,Sevilla
25-10-2021,Getafe,0 - 3,Celta
28-10-2021,Celta,0 - 2,Sociedad
01-11-2021,Vallecano,0 - 0,Celta
06-11-2021,Celta,3 - 3,Barcelona
20-11-2021,Celta,1 - 1,Villarreal
27-11-2021,Alaves,1 - 2,Celta
05-12-2021,Celta,1 - 2,Valencia
10-12-2021,Mallorca,0 - 0,Celta
17-12-2021,Celta,3 - 1,Espanol
02-01-2022,Betis,0 - 2,Celta
08-01-2022,Sociedad,1 - 0,Celta
19-01-2022,Celta,2 - 0,Osasuna
22-01-2022,Sevilla,2 - 2,Celta
05-02-2022,Celta,2 - 0,Vallecano
12-02-2022,Cadiz,0 - 0,Celta
21-02-2022,Celta,1 - 1,Levante
26-02-2022,Ath Madrid,2 - 0,Celta
06-03-2022,Celta,4 - 3,Mallorca
12-03-2022,Villarreal,1 - 0,Celta
20-03-2022,Celta,0 - 0,Betis
02-04-2022,Celta,1 - 2,Real Madrid
10-04-2022,Espanol,1 - 0,Celta
17-04-2022,Ath Bilbao,0 - 2,Celta
20-04-2022,Celta,0 - 2,Getafe
01-05-2022,Granada,1 - 1,Celta
07-05-2022,Celta,4 - 0,Alaves
10-05-2022,Barcelona,3 - 1,Celta
15-05-2022,Celta,1 - 0,Elche
21-05-2022,Valencia,2 - 0,Celta
16-08-2021,Elche,0 - 0,Ath Bilbao
22-08-2021,Ath Madrid,1 - 0,Elche
28-08-2021,Elche,1 - 1,Sevilla
13-09-2021,Getafe,0 - 1,Elche
18-09-2021,Elche,1 - 1,Levante
22-09-2021,Villarreal,4 - 1,Elche
26-09-2021,Sociedad,1 - 0,Elche
03-10-2021,Elche,1 - 0,Celta
17-10-2021,Vallecano,2 - 1,Elche
23-10-2021,Elche,2 - 2,Espanol
26-10-2021,Alaves,1 - 0,Elche
30-10-2021,Elche,1 - 2,Real Madrid
07-11-2021,Mallorca,2 - 2,Elche
21-11-2021,Elche,0 - 3,Betis
29-11-2021,Osasuna,1 - 1,Elche
05-12-2021,Elche,3 - 1,Cadiz
11-12-2021,Valencia,2 - 1,Elche
18-12-2021,Barcelona,3 - 2,Elche
02-01-2022,Elche,0 - 0,Granada
10-01-2022,Espanol,1 - 2,Elche
16-01-2022,Elche,1 - 0,Villarreal
23-01-2022,Real Madrid,2 - 2,Elche
05-02-2022,Elche,3 - 1,Alaves
11-02-2022,Sevilla,2 - 0,Elche
18-02-2022,Elche,2 - 1,Vallecano
25-02-2022,Levante,3 - 0,Elche
06-03-2022,Elche,1 - 2,Barcelona
12-03-2022,Granada,0 - 1,Elche
19-03-2022,Elche,0 - 1,Valencia
03-04-2022,Ath Bilbao,2 - 1,Elche
10-04-2022,Elche,1 - 2,Sociedad
16-04-2022,Elche,3 - 0,Mallorca
19-04-2022,Betis,0 - 1,Elche
01-05-2022,Elche,1 - 1,Osasuna
07-05-2022,Cadiz,3 - 0,Elche
11-05-2022,Elche,0 - 2,Ath Madrid
15-05-2022,Celta,1 - 0,Elche
22-05-2022,Elche,3 - 1,Getafe
14-08-2021,Osasuna,0 - 0,Espanol
21-08-2021,Espanol,0 - 0,Villarreal
27-08-2021,Mallorca,1 - 0,Espanol
12-09-2021,Espanol,1 - 2,Ath Madrid
19-09-2021,Betis,2 - 2,Espanol
22-09-2021,Espanol,1 - 0,Alaves
25-09-2021,Sevilla,2 - 0,Espanol
03-10-2021,Espanol,2 - 1,Real Madrid
18-10-2021,Espanol,2 - 0,Cadiz
23-10-2021,Elche,2 - 2,Espanol
26-10-2021,Espanol,1 - 1,Ath Bilbao
31-10-2021,Getafe,2 - 1,Espanol
06-11-2021,Espanol,2 - 0,Granada
20-11-2021,Barcelona,1 - 0,Espanol
28-11-2021,Espanol,1 - 0,Sociedad
05-12-2021,Vallecano,1 - 0,Espanol
11-12-2021,Espanol,4 - 3,Levante
17-12-2021,Celta,3 - 1,Espanol
31-12-2021,Valencia,1 - 2,Espanol
10-01-2022,Espanol,1 - 2,Elche
18-01-2022,Cadiz,2 - 2,Espanol
21-01-2022,Espanol,1 - 4,Betis
07-02-2022,Ath Bilbao,2 - 1,Espanol
13-02-2022,Espanol,2 - 2,Barcelona
20-02-2022,Espanol,1 - 1,Sevilla
27-02-2022,Villarreal,5 - 1,Espanol
05-03-2022,Espanol,2 - 0,Getafe
12-03-2022,Levante,1 - 1,Espanol
20-03-2022,Espanol,1 - 0,Mallorca
04-04-2022,Sociedad,1 - 0,Espanol
10-04-2022,Espanol,1 - 0,Celta
17-04-2022,Ath Madrid,2 - 1,Espanol
21-04-2022,Espanol,0 - 1,Vallecano
30-04-2022,Real Madrid,4 - 0,Espanol
08-05-2022,Espanol,1 - 1,Osasuna
11-05-2022,Alaves,2 - 1,Espanol
14-05-2022,Espanol,1 - 1,Valencia
22-05-2022,Granada,0 - 0,Espanol
13-08-2021,Valencia,1 - 0,Getafe
23-08-2021,Getafe,0 - 1,Sevilla
29-08-2021,Barcelona,2 - 1,Getafe
13-09-2021,Getafe,0 - 1,Elche
18-09-2021,Vallecano,3 - 0,Getafe
21-09-2021,Getafe,1 - 2,Ath Madrid
26-09-2021,Betis,2 - 0,Getafe
03-10-2021,Getafe,1 - 1,Sociedad
16-10-2021,Levante,0 - 0,Getafe
25-10-2021,Getafe,0 - 3,Celta
28-10-2021,Granada,1 - 1,Getafe
31-10-2021,Getafe,2 - 1,Espanol
07-11-2021,Villarreal,1 - 0,Getafe
21-11-2021,Getafe,4 - 0,Cadiz
27-11-2021,Mallorca,0 - 0,Getafe
06-12-2021,Getafe,0 - 0,Ath Bilbao
11-12-2021,Alaves,1 - 1,Getafe
19-12-2021,Getafe,1 - 0,Osasuna
02-01-2022,Getafe,1 - 0,Real Madrid
09-01-2022,Sevilla,1 - 0,Getafe
20-01-2022,Getafe,4 - 2,Granada
23-01-2022,Sociedad,0 - 0,Getafe
04-02-2022,Getafe,3 - 0,Levante
12-02-2022,Ath Madrid,4 - 3,Getafe
19-02-2022,Cadiz,1 - 1,Getafe
26-02-2022,Getafe,2 - 2,Alaves
05-03-2022,Espanol,2 - 0,Getafe
12-03-2022,Getafe,0 - 0,Valencia
18-03-2022,Ath Bilbao,1 - 1,Getafe
02-04-2022,Getafe,1 - 0,Mallorca
09-04-2022,Real Madrid,2 - 0,Getafe
16-04-2022,Getafe,1 - 2,Villarreal
20-04-2022,Celta,0 - 2,Getafe
02-05-2022,Getafe,0 - 0,Betis
08-05-2022,Getafe,0 - 0,Vallecano
11-05-2022,Osasuna,1 - 1,Getafe
15-05-2022,Getafe,0 - 0,Barcelona
22-05-2022,Elche,3 - 1,Getafe
16-08-2021,Villarreal,0 - 0,Granada
21-08-2021,Granada,1 - 1,Valencia
29-08-2021,Vallecano,4 - 0,Granada
13-09-2021,Granada,1 - 2,Betis
20-09-2021,Barcelona,1 - 1,Granada
23-09-2021,Granada,2 - 3,Sociedad
27-09-2021,Celta,1 - 0,Granada
03-10-2021,Granada,1 - 0,Sevilla
22-10-2021,Osasuna,1 - 1,Granada
28-10-2021,Granada,1 - 1,Getafe
01-11-2021,Levante,0 - 3,Granada
06-11-2021,Espanol,2 - 0,Granada
21-11-2021,Granada,1 - 4,Real Madrid
26-11-2021,Ath Bilbao,2 - 2,Granada
03-12-2021,Granada,2 - 1,Alaves
13-12-2021,Cadiz,1 - 1,Granada
19-12-2021,Granada,4 - 1,Mallorca
22-12-2021,Granada,2 - 1,Ath Madrid
02-01-2022,Elche,0 - 0,Granada
08-01-2022,Granada,1 - 1,Barcelona
20-01-2022,Getafe,4 - 2,Granada
23-01-2022,Granada,0 - 2,Osasuna
06-02-2022,Real Madrid,1 - 0,Granada
13-02-2022,Sociedad,2 - 0,Granada
19-02-2022,Granada,1 - 4,Villarreal
28-02-2022,Granada,0 - 0,Cadiz
05-03-2022,Valencia,3 - 1,Granada
12-03-2022,Granada,0 - 1,Elche
19-03-2022,Alaves,2 - 3,Granada
03-04-2022,Granada,2 - 2,Vallecano
08-04-2022,Sevilla,4 - 2,Granada
17-04-2022,Granada,1 - 4,Levante
20-04-2022,Ath Madrid,0 - 0,Granada
01-05-2022,Granada,1 - 1,Celta
07-05-2022,Mallorca,2 - 6,Granada
10-05-2022,Granada,1 - 0,Ath Bilbao
15-05-2022,Betis,2 - 0,Granada
22-05-2022,Granada,0 - 0,Espanol
14-08-2021,Cadiz,1 - 1,Levante
22-08-2021,Levante,3 - 3,Real Madrid
28-08-2021,Sociedad,1 - 0,Levante
11-09-2021,Levante,1 - 1,Vallecano
18-09-2021,Elche,1 - 1,Levante
21-09-2021,Levante,0 - 2,Celta
26-09-2021,Barcelona,3 - 0,Levante
02-10-2021,Mallorca,1 - 0,Levante
16-10-2021,Levante,0 - 0,Getafe
24-10-2021,Sevilla,5 - 3,Levante
28-10-2021,Levante,2 - 2,Ath Madrid
01-11-2021,Levante,0 - 3,Granada
06-11-2021,Alaves,2 - 1,Levante
19-11-2021,Levante,0 - 0,Ath Bilbao
28-11-2021,Betis,3 - 1,Levante
05-12-2021,Levante,0 - 0,Osasuna
11-12-2021,Espanol,4 - 3,Levante
20-12-2021,Levante,3 - 4,Valencia
03-01-2022,Villarreal,5 - 0,Levante
08-01-2022,Levante,2 - 0,Mallorca
22-01-2022,Levante,0 - 2,Cadiz
04-02-2022,Getafe,3 - 0,Levante
13-02-2022,Levante,2 - 4,Betis
16-02-2022,Ath Madrid,0 - 1,Levante
21-02-2022,Celta,1 - 1,Levante
25-02-2022,Levante,3 - 0,Elche
07-03-2022,Ath Bilbao,3 - 1,Levante
12-03-2022,Levante,1 - 1,Espanol
19-03-2022,Osasuna,3 - 1,Levante
02-04-2022,Levante,2 - 0,Villarreal
10-04-2022,Levante,2 - 3,Barcelona
17-04-2022,Granada,1 - 4,Levante
21-04-2022,Levante,2 - 3,Sevilla
30-04-2022,Valencia,1 - 1,Levante
06-05-2022,Levante,2 - 1,Sociedad
12-05-2022,Real Madrid,6 - 0,Levante
15-05-2022,Levante,3 - 1,Alaves
20-05-2022,Vallecano,2 - 4,Levante
14-08-2021,Mallorca,1 - 1,Betis
21-08-2021,Alaves,0 - 1,Mallorca
27-08-2021,Mallorca,1 - 0,Espanol
11-09-2021,Ath Bilbao,2 - 0,Mallorca
